date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,2842933,122244519,43.4,42.8,43.0,-0.4,1489,1101,43.4
2015-01-06,7654419,324150031,42.6,42.1,42.25,-0.75,3660,1101,42.5
2015-01-07,8719024,368171551,42.55,41.85,42.1,-0.15,3348,1101,42.25
2015-01-08,8697776,369425923,42.65,42.1,42.25,0.15,3700,1101,42.25
2015-01-09,10494129,441333468,42.6,41.8,41.8,-0.45,3975,1101,42.3
2015-01-12,14743805,605441072,41.7,40.6,40.75,-1.05,6779,1101,41.6
2015-01-13,9078712,373745434,41.4,40.5,41.3,0.55,4133,1101,40.7
2015-01-14,10408761,428298461,41.7,40.9,41.3,0.0,4576,1101,41.3
2015-01-15,7820632,324407319,41.7,41.15,41.45,0.15,2787,1101,41.3
2015-01-16,13346241,550440143,41.65,41.0,41.45,0.0,3658,1101,41.45
2015-01-19,9378707,392959219,42.25,41.55,41.7,0.25,3752,1101,41.7
2015-01-20,9046317,378587229,42.0,41.35,41.8,0.1,3676,1101,41.7
2015-01-21,9839094,409902540,42.1,41.5,41.6,-0.2,4069,1101,42.0
2015-01-22,7736900,324570454,42.15,41.55,42.0,0.4,3129,1101,41.6
2015-01-23,6099711,257185590,42.3,42.05,42.25,0.25,2529,1101,42.3
2015-01-26,4801173,203249203,42.5,42.05,42.5,0.25,2321,1101,42.25
2015-01-27,5134639,218900662,42.7,42.5,42.7,0.2,2127,1101,42.65
2015-01-28,5952553,254396681,42.95,42.5,42.95,0.25,3218,1101,42.5
2015-01-29,8902479,377651751,42.75,42.1,42.1,-0.85,2963,1101,42.7
2015-01-30,10361097,441412912,42.9,42.3,42.6,0.5,2758,1101,42.45
2015-02-02,3475137,147908989,42.8,42.3,42.75,0.15,1378,1101,42.6
2015-02-03,5587123,238073561,42.95,42.5,42.5,-0.25,2259,1101,42.95
2015-02-04,6580244,278653844,42.6,42.0,42.25,-0.25,3403,1101,42.0
2015-02-05,5067369,213939561,42.35,42.15,42.2,-0.05,2722,1101,42.25
2015-02-06,3120480,132185450,42.55,42.05,42.55,0.35,1540,1101,42.2
2015-02-09,3201832,135534691,42.5,42.1,42.2,-0.35,1427,1101,42.5
2015-02-10,7027711,297486042,42.55,41.9,42.2,0.0,2945,1101,42.0
2015-02-11,7575834,317809487,42.3,41.55,41.55,-0.65,4463,1101,42.0
2015-02-12,5098154,214083521,42.25,41.55,42.25,0.7,2584,1101,41.55
2015-02-13,4652496,196089482,42.3,41.85,42.15,-0.1,2836,1101,41.9
2015-02-24,11986840,512612189,42.9,42.35,42.85,0.7,4691,1101,42.4
2015-02-25,7138982,306343549,43.2,42.6,42.75,-0.1,3968,1101,42.95
2015-02-26,8012126,344348976,43.2,42.85,42.95,0.2,3055,1101,43.0
2015-03-02,5941698,255131507,43.3,42.55,42.65,-0.3,2665,1101,43.3
2015-03-03,6727209,289682295,43.25,42.75,43.25,0.6,3045,1101,42.95
2015-03-04,6063022,263659184,43.6,43.05,43.6,0.35,2274,1101,43.2
2015-03-05,4544261,196407473,43.6,43.0,43.0,-0.6,1956,1101,43.6
2015-03-06,4663289,202335210,43.55,42.9,43.35,0.35,1373,1101,43.2
2015-03-09,8534692,363356434,43.0,42.2,42.6,-0.75,3382,1101,43.0
2015-03-10,6967102,294623690,42.6,42.1,42.1,-0.5,3315,1101,42.6
2015-03-11,10202869,425246848,41.95,41.5,41.5,-0.6,4148,1101,41.65
2015-03-12,8015132,335956694,42.25,41.4,42.0,0.5,2720,1101,41.5
2015-03-13,5770369,244762542,42.6,42.05,42.25,0.25,2203,1101,42.15
2015-03-16,5677197,238398079,42.35,41.75,41.75,-0.5,2689,1101,42.0
2015-03-17,4360207,183214136,42.35,41.8,41.85,0.1,2006,1101,41.8
2015-03-18,5660897,239065888,42.6,41.85,42.3,0.45,3010,1101,41.9
2015-03-19,9321786,400086385,43.2,42.35,43.05,0.75,3834,1101,42.55
2015-03-20,13162845,556449580,42.6,42.1,42.25,-0.8,3705,1101,42.3
2015-03-23,3714785,157747090,42.55,42.25,42.5,0.25,1764,1101,42.25
2015-03-24,5899170,247835940,42.5,41.8,42.0,-0.5,2465,1101,42.3
2015-03-25,6739824,282790258,42.15,41.75,42.0,0.0,2265,1101,41.9
2015-03-26,5452727,229419284,42.2,41.75,42.2,0.2,1955,1101,41.8
2015-03-27,5476175,230206450,42.25,41.9,42.0,-0.2,1860,1101,42.0
2015-03-30,7783429,332894587,42.95,42.5,42.75,0.75,3098,1101,42.75
2015-03-31,17432697,761891541,44.2,43.0,44.1,1.35,6254,1101,43.2
2015-04-01,11745577,514093162,44.35,43.15,43.55,-0.55,5465,1101,44.0
2015-04-02,6751947,294673069,44.25,43.2,43.25,-0.3,3101,1101,43.7
2015-04-07,9560429,419303557,44.15,43.4,44.0,0.75,3461,1101,43.4
2015-04-08,7567497,332451194,44.35,43.55,43.8,-0.2,3360,1101,44.35
2015-04-09,13230150,584059025,44.35,43.8,44.0,0.2,4236,1101,44.15
2015-04-10,7442170,327171855,44.25,43.75,43.75,-0.25,3572,1101,44.2
2015-04-13,4942067,214653343,43.75,43.15,43.65,-0.1,2268,1101,43.75
2015-04-14,4157194,181418348,43.8,43.2,43.7,0.05,1647,1101,43.3
2015-04-15,9829278,425394040,43.5,43.05,43.5,-0.2,3335,1101,43.4
2015-04-16,7964933,346156608,43.75,43.3,43.75,0.25,3364,1101,43.5
2015-04-17,6913107,301832066,43.85,43.3,43.6,-0.15,2455,1101,43.3
2015-04-20,5733111,247872189,43.5,42.95,43.4,-0.2,1783,1101,43.45
2015-04-21,5250754,228739282,43.75,43.4,43.75,0.35,2272,1101,43.5
2015-04-22,6269963,274095371,43.8,43.4,43.75,0.0,2631,1101,43.75
2015-04-23,16591872,740166821,45.25,43.75,45.1,1.35,5512,1101,43.8
2015-04-24,14753147,664674182,45.4,44.9,44.95,-0.15,7335,1101,45.3
2015-04-27,9098417,408215640,45.05,44.7,44.7,-0.25,3534,1101,44.95
2015-04-28,14593811,645387577,44.9,43.6,43.95,-0.75,4160,1101,44.7
2015-04-29,8970009,392495124,44.1,43.5,43.6,-0.35,3547,1101,43.5
2015-04-30,7069706,309018923,43.9,43.5,43.6,0.0,2196,1101,43.5
2015-05-04,2284017,99434760,43.9,43.4,43.4,-0.2,1039,1101,43.8
2015-05-05,3266378,141962573,43.8,43.3,43.3,-0.1,1357,1101,43.6
2015-05-06,2957119,128039862,43.45,43.15,43.15,-0.15,1525,1101,43.3
2015-05-07,7360122,314861533,43.2,42.35,42.4,-0.75,3123,1101,43.15
2015-05-08,4382797,187387936,43.05,42.5,42.55,0.15,1836,1101,42.5
2015-05-11,4064617,173980169,43.0,42.6,42.65,0.1,1939,1101,42.6
2015-05-12,4602944,197311536,43.05,42.6,42.85,0.2,2013,1101,43.0
2015-05-13,4723786,203417794,43.35,42.85,43.2,0.35,2001,1101,42.85
2015-05-14,4202683,179436737,43.0,42.5,42.7,-0.5,2247,1101,43.0
2015-05-15,4962439,211254740,42.95,42.35,42.5,-0.2,1898,1101,42.7
2015-05-18,6782122,286905739,43.0,41.8,43.0,0.5,2586,1101,42.1
2015-05-19,5442397,232847283,43.1,42.5,42.6,-0.4,2679,1101,43.0
