date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,29876132,506277287,17.25,16.75,16.85,0.0,5741,2609,16.95
2015-01-06,25013432,417854713,16.95,16.55,16.65,-0.2,5843,2609,16.85
2015-01-07,70562903,1215255340,17.5,16.75,17.15,0.5,12319,2609,16.8
2015-01-08,42086559,715607902,17.35,16.75,16.8,-0.35,8137,2609,17.3
2015-01-09,41361849,708836955,17.3,16.95,17.15,0.35,7350,2609,17.0
2015-01-12,20693782,352716628,17.25,17.0,17.0,-0.15,3373,2609,17.2
2015-01-13,33757785,582054095,17.45,17.05,17.05,0.05,5204,2609,17.25
2015-01-14,26099309,447245481,17.3,16.85,17.3,0.25,4424,2609,17.3
2015-01-15,24076528,407635152,17.3,16.65,16.85,-0.45,5140,2609,17.3
2015-01-16,33769842,565829253,17.15,16.45,16.9,0.05,7317,2609,16.9
2015-01-19,12279632,204715920,16.95,16.5,16.5,-0.4,2702,2609,16.95
2015-01-20,13712295,230657128,16.95,16.7,16.8,0.3,2631,2609,16.75
2015-01-21,12690165,215582510,17.15,16.85,16.9,0.1,2829,2609,17.0
2015-01-22,13982274,235388663,17.0,16.65,17.0,0.1,3609,2609,16.95
2015-01-23,17997823,304600553,17.05,16.75,16.8,-0.2,3625,2609,17.0
2015-01-26,38533992,666563681,17.45,16.95,17.35,0.55,6579,2609,17.0
2015-01-27,25602732,449652278,17.75,17.35,17.5,0.15,5035,2609,17.6
2015-01-28,9428044,162872137,17.4,17.2,17.3,-0.2,2610,2609,17.25
2015-01-29,28016715,479188127,17.6,16.8,16.9,-0.4,5348,2609,17.5
2015-01-30,10498532,176898274,17.0,16.65,16.9,0.0,2526,2609,16.95
2015-02-02,19824494,323091735,16.7,16.15,16.2,-0.7,4350,2609,16.7
2015-02-03,11582703,187722618,16.35,15.95,16.3,0.1,2674,2609,16.2
2015-02-04,20611937,329622942,16.25,15.85,16.05,-0.25,4686,2609,16.15
2015-02-05,16651630,271568742,16.45,16.15,16.35,0.3,3045,2609,16.2
2015-02-06,7845061,127233025,16.3,16.05,16.3,-0.05,1840,2609,16.3
2015-02-09,8845936,143603701,16.35,16.1,16.25,-0.05,1857,2609,16.3
2015-02-10,6672083,108026617,16.4,16.1,16.1,-0.15,1949,2609,16.15
2015-02-11,8932823,144189818,16.35,16.0,16.0,-0.1,2072,2609,16.3
2015-02-12,7402170,119626542,16.3,16.0,16.3,0.3,1744,2609,16.15
2015-02-13,8465325,138028319,16.4,16.15,16.25,-0.05,1620,2609,16.3
2015-02-24,11399803,186104255,16.5,16.1,16.2,-0.05,2172,2609,16.4
2015-02-25,24436414,407712830,16.95,16.2,16.9,0.7,5848,2609,16.3
