date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,21982463,494854679,22.8,22.3,22.45,0.05,5104,2603,22.4
2015-01-06,22194544,498452882,22.7,22.2,22.2,-0.25,5530,2603,22.45
2015-01-07,43487841,1014060167,23.75,22.3,23.25,1.05,10030,2603,22.3
2015-01-08,40918449,956489595,23.9,22.8,22.8,-0.45,8449,2603,23.75
2015-01-09,35684026,843456148,24.35,23.0,24.35,1.55,7582,2603,23.25
2015-01-12,23671219,571901203,24.45,23.8,24.1,-0.25,6096,2603,24.35
2015-01-13,28906281,712410740,25.05,24.2,24.5,0.4,6962,2603,24.6
2015-01-14,14332912,350035514,24.8,24.25,24.3,-0.2,3683,2603,24.6
2015-01-15,25967257,610139681,24.0,23.05,23.35,-0.95,5978,2603,23.55
2015-01-16,25548428,602529149,24.2,22.8,23.7,0.35,7132,2603,23.7
2015-01-19,16350600,380034295,23.65,22.9,22.95,-0.75,4268,2603,23.3
2015-01-20,15501184,358910040,23.55,22.9,23.05,0.1,4018,2603,23.2
2015-01-21,18373732,429734819,23.7,23.2,23.4,0.35,4932,2603,23.6
2015-01-22,16046495,372847906,23.5,23.1,23.25,-0.15,4438,2603,23.5
2015-01-23,21719113,502060499,23.5,22.8,23.15,-0.1,4231,2603,23.35
2015-01-26,28840905,674204410,23.85,23.1,23.2,0.05,7236,2603,23.35
2015-01-27,23019535,537821875,23.8,23.1,23.3,0.1,4776,2603,23.8
2015-01-28,11921195,273733626,23.1,22.8,22.95,-0.35,3010,2603,23.1
2015-01-29,27518036,621424929,23.25,22.15,22.4,-0.55,6512,2603,23.0
2015-01-30,25783568,575288937,22.6,21.9,22.4,0.0,6994,2603,22.45
2015-02-02,20681575,447757850,22.2,21.45,21.6,-0.8,4922,2603,22.05
2015-02-03,14957103,321571744,21.75,21.2,21.6,0.0,4108,2603,21.3
2015-02-04,24740723,531183872,21.9,21.15,21.75,0.15,6275,2603,21.6
2015-02-05,25555381,568045795,22.6,21.5,22.55,0.8,6145,2603,21.85
2015-02-06,15597448,348476184,22.65,21.85,22.55,0.0,5419,2603,22.3
2015-02-09,8051168,179706171,22.45,22.05,22.4,-0.15,2796,2603,22.45
2015-02-10,9062202,203024443,22.65,22.2,22.2,-0.2,2563,2603,22.4
2015-02-11,9093496,201294146,22.5,21.85,21.95,-0.25,2906,2603,22.3
