date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,3209469,89772390,28.2,27.7,28.2,0.45,1607,2615,28.0
2015-01-06,9442431,268482600,28.75,27.9,28.25,0.05,3772,2615,28.2
2015-01-07,20021047,597159500,30.2,28.5,30.2,1.95,6659,2615,28.5
2015-01-08,21381706,674156467,32.05,30.5,32.05,1.85,7560,2615,30.5
2015-01-09,14852762,482267412,33.1,31.8,32.05,0.0,4990,2615,32.8
2015-01-12,6485484,205565204,32.15,31.35,31.5,-0.55,2556,2615,32.15
2015-01-13,11220829,364308099,32.95,31.95,32.45,0.95,3990,2615,32.1
2015-01-14,6514760,210083445,32.65,32.05,32.3,-0.15,2636,2615,32.45
2015-01-15,5423250,172011790,32.1,31.4,31.8,-0.5,2389,2615,32.05
2015-01-16,17970604,596032786,34.0,31.55,34.0,2.2,7145,2615,32.1
2015-01-19,10232146,340849189,34.15,32.85,33.45,-0.55,4613,2615,34.1
2015-01-20,9647517,329117653,34.85,33.5,33.5,0.05,4518,2615,33.8
2015-01-21,7013604,237461518,34.6,33.35,33.45,-0.05,3551,2615,34.5
2015-01-22,6658042,225010096,34.3,33.25,34.3,0.85,2953,2615,33.5
2015-01-23,5447197,184075484,34.3,33.5,33.5,-0.8,2344,2615,34.0
2015-01-26,3444664,114464068,33.8,32.95,33.15,-0.35,1904,2615,32.95
2015-01-27,3323432,109470034,33.7,32.6,32.6,-0.55,1850,2615,33.15
2015-01-28,6037389,193285471,32.4,31.4,32.35,-0.25,2760,2615,32.3
2015-01-29,7456952,244255441,33.4,32.3,32.45,0.1,3688,2615,32.65
2015-01-30,6503085,215087341,33.45,32.85,33.25,0.8,2836,2615,33.3
2015-02-02,6364164,209403061,33.3,32.3,33.3,0.05,2925,2615,32.75
2015-02-03,6978334,225949657,33.25,31.65,32.4,-0.9,3542,2615,33.1
2015-02-04,7942504,249809628,31.9,30.8,31.4,-1.0,3718,2615,31.85
2015-02-05,3974536,127058549,32.15,31.8,32.0,0.6,1597,2615,31.8
2015-02-06,3624047,114870766,32.1,31.4,31.7,-0.3,1653,2615,31.5
2015-02-09,5778961,184903271,32.45,31.3,32.3,0.6,2435,2615,31.7
2015-02-10,6084600,200762384,33.45,32.3,33.0,0.7,3068,2615,32.6
2015-02-11,6424612,212000584,33.5,32.5,33.0,0.0,3329,2615,33.4
2015-02-12,17166216,575666810,34.05,33.1,33.5,0.5,7303,2615,34.05
2015-02-13,14290410,490015633,34.8,33.7,34.35,0.85,5254,2615,34.2
2015-02-24,19995466,677958203,35.25,32.5,34.25,-0.1,7348,2615,34.85
2015-02-25,8498184,292399358,34.7,33.85,34.6,0.35,3951,2615,34.25
2015-02-26,46040268,1606676898,35.0,34.15,35.0,0.4,5388,2615,34.9
2015-03-02,15526445,560194730,37.45,34.85,37.45,2.45,6160,2615,35.0
2015-03-03,6365198,236110916,38.0,36.7,36.7,-0.75,3414,2615,38.0
2015-03-04,5279503,192879218,37.0,36.2,36.2,-0.5,2842,2615,37.0
2015-03-05,7830231,277429446,36.45,35.0,35.05,-1.15,3247,2615,36.2
2015-03-06,6153887,214724919,35.45,34.6,34.7,-0.35,2873,2615,35.05
2015-03-09,5272452,179390065,34.75,33.8,33.8,-0.9,2265,2615,34.6
2015-03-10,3431918,117040586,34.5,33.85,33.95,0.15,2123,2615,34.05
2015-03-11,13247170,472055440,36.3,34.1,35.85,1.9,5486,2615,34.45
2015-03-12,7267007,258160885,35.9,35.1,35.45,-0.4,2935,2615,35.85
2015-03-13,6035594,215896860,36.4,35.35,35.4,-0.05,2743,2615,36.0
2015-03-16,10805409,399866759,37.85,36.0,37.2,1.8,4582,2615,36.2
2015-03-17,11862508,445243641,38.5,36.6,37.1,-0.1,5400,2615,38.0
2015-03-18,8576769,322586572,38.15,36.75,38.15,1.05,3988,2615,37.5
2015-03-19,4998858,188549143,38.15,37.2,37.65,-0.5,3247,2615,38.0
2015-03-20,5783809,218367333,38.45,37.1,37.85,0.2,2689,2615,37.9
2015-03-23,2845135,106557325,37.95,37.2,37.2,-0.65,1544,2615,37.85
