date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,30581007,692543088,23.0,22.3,23.0,0.85,8047,2618,22.5
2015-01-06,50767924,1182646601,23.55,22.95,22.95,-0.05,12277,2618,23.05
2015-01-07,51527061,1216460411,23.9,23.2,23.5,0.55,11343,2618,23.4
2015-01-08,48550596,1147522456,23.95,23.05,23.6,0.1,9587,2618,23.9
2015-01-09,48581709,1169014116,24.5,23.45,24.5,0.9,10122,2618,23.6
2015-01-12,27895671,680785788,24.75,24.1,24.2,-0.3,7132,2618,24.5
2015-01-13,37891873,936718176,24.9,24.45,24.65,0.45,8189,2618,24.55
2015-01-14,25786995,633935157,24.95,24.25,24.7,0.05,5768,2618,24.95
2015-01-15,25822075,625818008,24.55,24.0,24.2,-0.5,6754,2618,24.5
2015-01-16,32381257,790761892,24.75,23.9,24.3,0.1,8507,2618,24.5
2015-01-19,23863926,568808191,24.2,23.55,23.55,-0.75,5937,2618,24.0
2015-01-20,14923864,356241691,24.0,23.7,23.85,0.3,3889,2618,23.7
2015-01-21,20284804,492903719,24.45,24.05,24.3,0.45,5363,2618,24.1
2015-01-22,13569496,329099315,24.4,24.1,24.3,0.0,3715,2618,24.3
2015-01-23,20061237,487809450,24.55,24.05,24.3,0.0,4908,2618,24.35
2015-01-26,18260378,449399112,24.8,24.4,24.5,0.2,4838,2618,24.4
2015-01-27,12250655,298418225,24.8,24.05,24.25,-0.25,4158,2618,24.75
2015-01-28,12392553,294993086,24.15,23.65,23.75,-0.5,4084,2618,24.0
2015-01-29,34487702,808908506,23.95,23.05,23.4,-0.35,10024,2618,23.75
2015-01-30,27009153,641729800,24.2,23.3,24.2,0.8,7468,2618,23.5
2015-02-02,22314913,517910649,23.8,22.9,23.1,-1.1,6445,2618,23.75
2015-02-03,19770211,448769243,22.95,22.5,22.8,-0.3,5783,2618,22.5
2015-02-04,28778880,651908711,22.95,22.3,22.95,0.15,7342,2618,22.3
2015-02-05,17629116,408827900,23.35,23.05,23.15,0.2,5030,2618,23.3
2015-02-06,48399841,1094774735,22.9,22.35,22.6,-0.55,21043,2618,22.9
2015-02-09,32564674,718101251,22.4,21.9,21.9,-0.7,9669,2618,22.4
2015-02-10,28558755,634580792,22.6,21.8,22.0,0.1,9152,2618,21.8
2015-02-11,15952235,354377070,22.45,22.05,22.1,0.1,4529,2618,22.2
2015-02-12,18036608,405227921,22.6,22.25,22.4,0.3,6094,2618,22.3
2015-02-13,15599289,350846501,22.6,22.25,22.45,0.05,4955,2618,22.4
2015-02-24,18106856,409024980,22.85,22.45,22.45,0.0,5122,2618,22.6
2015-02-25,20004321,456711182,23.15,22.5,22.95,0.5,5830,2618,22.5
2015-02-26,13843837,316990921,23.1,22.65,23.0,0.05,3687,2618,22.75
2015-03-02,13384378,305046992,23.05,22.5,22.9,-0.1,3793,2618,23.0
2015-03-03,15066572,346247282,23.1,22.7,23.1,0.2,3896,2618,23.1
2015-03-04,27373705,612302870,22.9,22.05,22.1,-1.0,6864,2618,22.8
2015-03-05,46972083,1000579393,22.1,20.9,21.1,-1.0,10467,2618,22.0
2015-03-06,21705966,463471089,21.6,21.15,21.5,0.4,4966,2618,21.2
2015-03-09,11879489,253872641,21.55,21.15,21.45,-0.05,2903,2618,21.4
2015-03-10,11030286,235077837,21.65,21.15,21.15,-0.3,2951,2618,21.65
2015-03-11,21942630,469171262,21.7,21.15,21.15,0.0,5207,2618,21.3
2015-03-12,16317944,346824351,21.45,21.15,21.15,0.0,3598,2618,21.35
2015-03-13,35185067,774571341,22.6,21.3,21.9,0.75,8259,2618,21.45
2015-03-16,19998836,448102544,22.7,22.2,22.2,0.3,4399,2618,22.5
2015-03-17,38611257,873360853,22.95,22.2,22.5,0.3,8464,2618,22.55
2015-03-18,25390546,574818783,22.85,22.5,22.7,0.2,5548,2618,22.8
