date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2018-10-19,18388029,659237999,36.9,34.5,36.9,0.0,7498,5876,35.0
2018-10-22,16668944,628047691,38.1,37.05,37.35,0.45,6210,5876,37.1
2018-10-23,7449672,273810828,37.35,36.45,36.55,-0.8,2838,5876,37.35
2018-10-24,10424948,380913268,36.95,35.8,36.8,0.25,3913,5876,36.35
2018-10-25,7244735,263744329,36.65,35.95,36.2,-0.6,2437,5876,36.0
2018-10-26,8669634,313871598,36.5,35.9,36.45,0.25,3307,5876,36.4
2018-10-29,11409335,423308447,37.5,36.15,37.35,0.9,4569,5876,36.35
2018-10-30,21778064,833202479,38.6,37.15,38.4,1.05,7482,5876,37.3
2018-10-31,7279065,280126270,38.8,37.8,38.45,0.05,3094,5876,38.35
2018-11-01,3759562,144489120,38.5,38.2,38.5,0.05,2053,5876,38.4
2018-11-02,6175326,236877641,38.6,37.8,38.6,0.1,2921,5876,38.5
2018-11-05,3395436,131020451,38.7,38.2,38.7,0.1,1395,5876,38.2
2018-11-06,8845702,345427818,39.2,38.5,38.95,0.25,2730,5876,38.65
2018-11-07,16601514,659937587,40.0,38.95,39.95,1.0,4551,5876,38.95
2018-11-08,4998164,198874559,40.0,39.45,39.9,-0.05,2009,5876,39.95
2018-11-09,2960793,117218815,39.9,39.5,39.55,-0.35,1266,5876,39.9
2018-11-12,11486439,460747361,40.5,39.5,40.5,0.95,3748,5876,39.55
2018-11-13,11549067,469633222,41.0,39.9,40.8,0.3,3354,5876,40.05
2018-11-14,15894226,623381549,40.2,38.65,39.15,-1.65,6245,5876,40.2
2018-11-15,3342761,130097796,39.15,38.7,39.05,-0.1,1765,5876,39.0
2018-11-16,7937008,308326240,39.2,38.55,38.55,-0.5,2801,5876,39.05
2018-11-19,4491098,174972337,39.3,38.6,39.2,0.65,2488,5876,38.6
2018-11-20,2171221,84424980,39.1,38.8,38.9,-0.3,1446,5876,39.1
2018-11-21,2809334,109312774,39.1,38.6,38.9,0.0,1222,5876,38.6
2018-11-22,2523854,97976856,38.95,38.65,38.9,0.0,1382,5876,38.9
2018-11-23,3658618,143136802,39.45,38.75,39.2,0.3,1418,5876,38.9
2018-11-26,9948035,396185425,40.0,39.25,39.95,0.75,3461,5876,39.25
2018-11-27,9411281,370710318,39.8,39.05,39.6,-0.35,3471,5876,39.8
2018-11-28,5436214,212301309,39.5,38.85,39.1,-0.5,2686,5876,39.5
2018-11-29,7126428,276453343,39.15,38.65,38.8,-0.3,4241,5876,39.1
2018-11-30,7826386,307967886,39.95,38.5,39.95,1.15,3105,5876,39.05
2018-12-03,5309078,210090182,39.85,39.25,39.8,-0.15,2011,5876,39.6
2018-12-04,3595239,141346083,39.6,39.1,39.2,-0.6,2218,5876,39.5
2018-12-05,3483051,135714784,39.35,38.7,39.05,-0.15,1449,5876,38.9
2018-12-06,5518187,213419068,39.05,38.4,38.8,-0.25,2411,5876,39.05
2018-12-07,1229715,47670373,39.0,38.7,38.8,0.0,475,5876,39.0
2018-12-10,3986116,155457202,39.25,38.8,38.95,0.15,2228,5876,38.95
2018-12-11,4004267,156775836,39.5,38.9,39.25,0.3,1634,5876,39.05
2018-12-12,3041573,119672628,39.5,39.2,39.25,0.0,1283,5876,39.5
2018-12-13,4706043,185831795,39.7,39.2,39.65,0.4,1809,5876,39.25
2018-12-14,2233000,88319143,39.65,39.45,39.5,-0.15,1191,5876,39.6
2018-12-17,3307838,130790909,39.8,39.35,39.65,0.15,1182,5876,39.5
2018-12-18,6568535,261442869,39.95,39.5,39.8,0.15,2409,5876,39.5
2018-12-19,8692057,347786080,40.15,39.7,40.15,0.35,3290,5876,39.8
2018-12-20,7523948,303330749,40.45,40.0,40.25,0.1,3266,5876,40.1
2018-12-21,18336973,740213402,40.45,40.05,40.4,0.15,2312,5876,40.15
2018-12-22,3086914,122776062,40.05,39.6,39.7,-0.7,1208,5876,39.95
2018-12-24,3904466,154957988,39.9,39.5,39.65,-0.05,1906,5876,39.7
2018-12-25,3972614,157472644,39.8,39.3,39.75,0.1,2163,5876,39.4
2018-12-26,2616261,104401237,40.0,39.6,39.85,0.1,983,5876,39.75
2018-12-27,4725486,189297190,40.15,39.95,40.15,0.3,1985,5876,39.95
2018-12-28,5776526,232106140,40.25,40.05,40.2,0.05,1905,5876,40.15
2019-01-02,4123541,165242580,40.25,39.95,40.1,-0.1,2306,5876,40.2
2019-01-03,6946965,277490886,40.1,39.7,40.1,0.0,3238,5876,40.0
2019-01-04,4751992,190269820,40.1,39.8,40.05,-0.05,2493,5876,40.0
2019-01-07,4398278,176445514,40.25,39.9,40.2,0.15,2156,5876,40.05
2019-01-08,2892896,116011079,40.25,39.95,39.95,-0.25,1698,5876,40.2
2019-01-09,10997695,446923453,40.9,40.0,40.7,0.75,4343,5876,40.0
2019-01-10,10558619,433616587,41.2,40.5,41.2,0.5,3675,5876,40.7
