date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,278300,21092779,76.7,75.5,75.6,-0.3,239,3653,75.9
2015-01-06,477309,35784682,75.5,74.5,74.6,-1.0,429,3653,74.6
2015-01-07,261050,19499150,75.4,74.5,74.6,0.0,211,3653,74.6
2015-01-08,337154,25285850,75.5,74.6,74.6,0.0,252,3653,75.0
2015-01-09,1362679,104462342,77.8,75.0,76.5,1.9,1022,3653,75.4
2015-01-12,457196,34842535,77.2,75.5,75.5,-1.0,360,3653,76.1
2015-01-13,310154,23508427,76.4,75.5,75.5,0.0,232,3653,75.5
2015-01-14,290050,21987384,76.2,75.5,75.7,0.2,230,3653,76.0
2015-01-15,7065280,565452047,80.9,76.0,79.1,3.4,3629,3653,76.0
2015-01-16,2275200,176133758,79.7,76.6,76.6,-2.5,1482,3653,78.6
2015-01-19,903110,68076940,77.6,73.5,74.0,-2.6,714,3653,77.1
2015-01-20,675466,50989988,76.0,74.1,75.3,1.3,527,3653,74.1
2015-01-21,544541,41197716,76.4,75.1,76.4,1.1,393,3653,75.9
2015-01-22,2337213,183556418,79.5,76.5,78.5,2.1,1634,3653,76.7
2015-01-23,1025261,80293358,79.5,77.6,78.0,-0.5,666,3653,79.5
2015-01-26,502119,39295033,79.0,77.5,78.0,0.0,380,3653,77.9
2015-01-27,390331,30352185,78.8,77.2,77.8,-0.2,317,3653,78.8
2015-01-28,761203,59716293,79.2,77.2,77.8,0.0,529,3653,77.6
2015-01-29,522500,40299149,78.5,76.6,76.7,-1.1,393,3653,78.0
2015-01-30,395929,30288230,77.6,76.0,76.0,-0.7,303,3653,77.0
2015-02-02,275138,20953530,77.5,75.8,75.8,-0.2,238,3653,77.5
2015-02-03,598548,45161078,76.6,74.9,75.1,-0.7,428,3653,76.6
2015-02-04,287545,21724738,76.5,75.1,75.2,0.1,240,3653,76.5
2015-02-05,371285,27671287,75.5,74.3,74.7,-0.5,310,3653,75.2
2015-02-06,259150,19269300,75.2,74.0,74.0,-0.7,196,3653,75.0
2015-02-09,396000,29431900,75.1,73.8,74.3,0.3,318,3653,74.3
2015-02-10,560169,41060683,74.9,72.6,72.7,-1.6,460,3653,74.3
2015-02-11,503827,36498911,73.5,72.0,72.0,-0.7,393,3653,73.0
2015-02-12,598710,42468095,72.7,70.6,70.7,-1.3,435,3653,72.0
2015-02-13,395114,28278326,72.2,71.1,71.4,0.7,314,3653,71.3
2015-02-24,235412,16893991,72.3,71.4,71.5,0.1,191,3653,72.2
2015-02-25,266052,19209344,72.5,71.8,72.0,0.5,232,3653,72.0
2015-02-26,216773,15634630,72.5,71.8,72.5,0.5,182,3653,72.0
2015-03-02,306321,21993415,72.9,71.4,71.5,-1.0,206,3653,72.7
2015-03-03,224250,16110475,72.2,71.7,71.7,0.2,187,3653,71.7
2015-03-04,350585,25309659,72.7,71.6,72.2,0.5,290,3653,71.6
2015-03-05,310922,22504384,72.8,72.0,72.2,0.0,240,3653,72.7
2015-03-06,964957,71262229,74.7,72.0,74.1,1.9,746,3653,72.2
2015-03-09,276472,20282802,73.9,72.9,73.4,-0.7,227,3653,73.6
2015-03-10,260351,19068677,74.1,72.6,72.7,-0.7,227,3653,73.8
2015-03-11,240874,17530113,73.2,72.4,72.5,-0.2,200,3653,72.5
2015-03-12,206099,15049806,73.5,72.6,72.9,0.4,170,3653,73.0
2015-03-13,206513,15061886,73.5,72.4,72.4,-0.5,189,3653,73.4
2015-03-16,243600,17576938,72.8,71.8,72.0,-0.4,186,3653,72.4
2015-03-17,1284826,95745334,75.4,72.7,74.5,2.5,964,3653,73.9
2015-03-18,777280,58253891,75.6,74.1,74.2,-0.3,527,3653,74.9
2015-03-19,1787591,135918452,76.8,74.3,75.9,1.7,1106,3653,74.7
2015-03-20,504427,38093280,76.2,75.1,75.6,-0.3,349,3653,76.0
2015-03-23,481583,36012131,76.2,74.4,74.5,-1.1,368,3653,75.6
2015-03-24,239000,17708598,74.9,73.8,73.8,-0.7,207,3653,74.8
2015-03-25,370960,27159982,74.4,72.8,72.9,-0.9,280,3653,74.0
2015-03-26,359911,26114145,73.2,72.1,73.2,0.3,274,3653,72.2
2015-03-27,477497,34449084,73.5,71.5,71.9,-1.3,349,3653,73.5
2015-03-30,372315,26381596,72.2,70.2,70.9,-1.0,284,3653,71.9
2015-03-31,259100,18476390,72.0,70.8,71.7,0.8,190,3653,71.0
2015-04-01,326204,23048723,71.4,70.5,71.0,-0.7,264,3653,71.1
2015-04-02,216100,15350000,71.6,70.8,70.8,-0.2,195,3653,71.0
2015-04-07,232659,16585052,71.8,71.0,71.0,0.2,192,3653,71.5
2015-04-08,216316,15375504,71.6,70.7,70.9,-0.1,172,3653,71.2
2015-04-09,415535,29343550,71.5,70.1,70.1,-0.8,309,3653,70.9
2015-04-10,698951,48240741,70.5,68.2,68.5,-1.6,495,3653,70.2
2015-04-13,271070,18737457,69.5,68.6,69.2,0.7,213,3653,68.6
2015-04-14,362751,25536842,71.0,69.2,70.1,0.9,254,3653,69.2
2015-04-15,188202,13183399,70.6,69.7,70.2,0.1,150,3653,70.2
2015-04-16,160361,11220105,70.5,69.7,69.9,-0.3,126,3653,70.2
2015-04-17,220482,15242158,70.0,68.7,68.8,-1.1,181,3653,70.0
2015-04-20,244000,16622400,68.8,67.7,67.8,-1.0,178,3653,68.8
2015-04-21,547330,36485611,68.2,66.0,66.1,-1.7,417,3653,68.0
2015-04-22,273150,18211524,67.5,66.1,67.5,1.4,228,3653,66.1
2015-04-23,308217,20856363,68.2,67.0,68.0,0.5,267,3653,67.9
2015-04-24,324418,22114148,68.8,67.5,67.7,-0.3,278,3653,68.2
2015-04-27,201535,13710300,68.5,67.7,67.7,0.0,188,3653,68.4
2015-04-28,373213,25034271,68.4,66.5,66.9,-0.8,297,3653,67.7
2015-04-29,274101,18146145,67.7,65.5,66.4,-0.5,212,3653,67.5
2015-04-30,199170,13340139,67.5,66.5,67.3,0.9,172,3653,66.8
2015-05-04,182358,12103598,67.3,66.0,66.2,-1.1,152,3653,67.3
2015-05-05,315078,20755048,66.2,65.6,65.8,-0.4,190,3653,66.2
2015-05-06,250734,16639190,67.2,65.5,67.2,1.4,224,3653,65.5
2015-05-07,134566,8976408,67.1,66.5,66.6,-0.6,120,3653,67.0
2015-05-08,265000,17560200,67.2,65.5,65.6,-1.0,203,3653,66.5
2015-05-11,1325840,81869506,66.0,61.1,61.1,-4.5,858,3653,65.6
2015-05-12,472850,28532918,61.8,59.3,61.0,-0.1,349,3653,60.0
2015-05-13,253030,15439050,61.4,60.5,61.1,0.1,192,3653,61.0
2015-05-14,430187,25932675,61.7,59.6,60.0,-1.1,308,3653,61.1
2015-05-15,225721,13559528,60.8,59.5,60.1,0.1,202,3653,60.8
2015-05-18,415414,24452552,61.0,57.6,58.0,-2.1,311,3653,61.0
2015-05-19,476358,27643622,58.8,57.2,58.3,0.3,378,3653,58.2
2015-05-20,432849,25498504,60.0,57.8,59.0,0.7,341,3653,58.5
2015-05-21,158371,9339377,59.5,58.5,58.7,-0.3,131,3653,58.6
2015-05-22,330141,19653031,60.5,59.0,59.5,0.8,253,3653,59.0
2015-05-25,213572,12734020,60.0,59.2,59.3,-0.2,143,3653,59.7
2015-05-26,150567,8963678,59.9,59.0,59.3,0.0,127,3653,59.0
2015-05-27,197600,11866120,60.3,59.4,60.1,0.8,158,3653,59.7
2015-05-28,483699,29905296,62.7,60.5,62.3,2.2,386,3653,61.0
2015-05-29,179196,11092232,62.7,61.6,61.7,-0.6,160,3653,62.7
2015-06-01,244265,14683878,61.2,59.7,60.0,-1.7,173,3653,61.2
2015-06-02,166448,10034793,60.9,60.0,60.0,0.0,123,3653,60.0
2015-06-03,220280,13133871,60.5,59.0,59.1,-0.9,179,3653,60.0
2015-06-04,390000,22537800,59.1,57.2,57.2,-1.9,295,3653,58.5
2015-06-05,299771,17141123,57.8,56.5,57.0,-0.2,227,3653,57.2
2015-06-08,482917,26702676,56.9,54.9,55.2,-1.8,320,3653,56.1
2015-06-09,1406439,72368589,55.0,50.0,50.0,-5.2,757,3653,54.3
2015-06-10,435654,22296108,52.0,49.8,51.7,1.7,337,3653,49.8
2015-06-11,168000,8749000,52.9,51.7,52.1,0.4,139,3653,52.9
2015-06-12,286135,15292195,53.9,52.1,53.8,1.7,218,3653,52.1
2015-06-15,391000,21629000,56.3,54.1,55.0,1.2,287,3653,55.5
2015-06-16,249350,13394425,55.5,53.2,53.5,-1.5,183,3653,55.5
2015-06-17,154200,8321520,54.5,53.5,53.6,0.1,136,3653,53.9
2015-06-18,148100,8054100,55.0,53.8,54.7,1.1,119,3653,54.3
2015-06-22,146372,8081816,55.9,54.8,55.4,0.7,124,3653,55.6
2015-06-23,189962,10459710,55.9,54.5,54.8,-0.6,156,3653,55.5
2015-06-24,233154,12676723,55.5,54.0,54.0,-0.8,147,3653,55.5
2015-06-25,236405,12896995,54.8,54.2,54.6,0.6,148,3653,54.2
2015-06-26,153150,8364850,55.3,54.2,55.3,0.7,124,3653,54.8
2015-06-29,168310,9154131,55.1,54.0,54.0,-1.3,133,3653,55.0
2015-06-30,176050,9493224,54.7,53.3,54.4,0.4,118,3653,53.5
2015-07-01,551141,30351209,55.6,54.0,55.0,0.6,402,3653,54.4
2015-07-02,424937,22346471,53.5,51.7,52.9,0.0,364,3653,52.1
2015-07-03,226945,11858227,53.0,51.8,52.2,-0.7,190,3653,52.9
2015-07-06,191100,9940690,52.4,51.6,51.8,-0.4,154,3653,52.0
2015-07-07,183522,9535538,52.6,51.8,51.9,0.1,131,3653,51.8
2015-07-08,633009,31614744,51.6,48.65,49.3,-2.6,453,3653,51.3
2015-07-09,535104,26212533,50.7,47.3,49.85,0.55,332,3653,47.55
2015-07-13,288240,14798434,52.4,49.95,51.9,2.05,252,3653,51.0
2015-07-14,222200,11340640,51.9,50.2,50.5,-1.4,172,3653,50.2
2015-07-15,155200,7930880,51.7,50.5,51.7,1.2,129,3653,50.5
2015-07-16,72000,3714000,52.2,51.0,51.7,0.0,69,3653,52.0
2015-07-17,88419,4550236,52.0,51.3,51.7,0.0,78,3653,51.7
2015-07-20,111400,5662159,52.1,50.1,50.3,-1.4,98,3653,51.8
2015-07-21,124000,6238200,51.0,49.85,49.85,-0.45,108,3653,50.3
2015-07-22,149118,7416425,50.0,49.5,49.7,-0.15,116,3653,49.5
2015-07-23,222101,10879374,50.0,48.6,48.8,-0.9,165,3653,49.3
2015-07-24,112691,5539269,49.45,49.0,49.0,0.2,93,3653,49.0
2015-07-27,508058,23630982,49.0,44.15,44.15,-4.85,371,3653,47.9
2015-07-28,356236,15887623,46.3,42.75,46.1,1.95,256,3653,42.75
2015-07-29,140747,6435998,46.1,45.25,45.8,-0.3,116,3653,46.1
2015-07-30,147600,6801129,46.8,45.1,45.4,-0.4,106,3653,45.1
2015-07-31,146225,6569115,46.0,44.0,44.0,-1.4,111,3653,46.0
2015-08-03,173200,7532099,44.1,43.0,43.4,-0.6,145,3653,44.0
2015-08-04,380205,16074147,44.0,40.5,42.5,-0.9,269,3653,43.4
2015-08-05,195300,8163375,42.45,40.7,42.25,-0.25,138,3653,40.7
2015-08-06,200400,8371500,42.95,41.1,41.1,-1.15,153,3653,42.25
2015-08-07,166590,6941332,42.1,40.8,42.0,0.9,138,3653,41.1
2015-08-10,117001,5002243,43.35,41.2,43.2,1.2,105,3653,41.8
2015-08-11,222000,9524950,43.7,42.2,42.4,-0.8,166,3653,43.5
2015-08-12,107000,4495900,42.35,41.55,41.9,-0.5,92,3653,42.0
2015-08-13,167975,7189419,43.5,41.9,43.5,1.6,138,3653,41.9
2015-08-14,100100,4343290,44.5,42.8,43.0,-0.5,77,3653,44.5
2015-08-17,138240,5854568,42.6,42.0,42.0,-1.0,94,3653,42.5
2015-08-18,82136,3454630,42.95,41.8,42.3,0.3,72,3653,42.0
2015-08-19,187357,7837194,42.45,41.5,41.85,-0.45,141,3653,42.0
2015-08-20,84153,3533676,42.35,41.2,42.0,0.15,84,3653,41.5
