date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2015-01-05,5265053,546514480,104.5,102.0,104.0,-0.5,1932,3045,103.5
2015-01-06,7120219,729023422,104.0,101.5,101.5,-2.5,2341,3045,104.0
2015-01-07,5099259,513843849,101.5,100.0,100.5,-1.0,2481,3045,100.5
2015-01-08,4180576,431867914,104.5,100.5,104.5,4.0,1945,3045,101.5
2015-01-09,3491326,367749730,106.0,104.5,105.5,1.0,2031,3045,104.5
2015-01-12,5539175,597417801,110.0,104.5,108.0,2.5,2621,3045,105.0
2015-01-13,9760765,1081659254,113.0,108.0,110.5,2.5,4577,3045,108.5
2015-01-14,7668427,828608295,110.5,106.5,108.0,-2.5,3656,3045,108.5
2015-01-15,6723323,708654787,107.5,104.0,105.5,-2.5,3248,3045,107.0
2015-01-16,4663010,495828570,108.0,105.0,108.0,2.5,2722,3045,105.0
2015-01-19,4216319,453596284,108.5,107.0,108.0,0.0,1426,3045,108.5
2015-01-20,3167056,336879436,107.5,106.0,106.0,-2.0,1558,3045,106.5
2015-01-21,9386416,1011335981,108.0,105.5,108.0,2.0,2149,3045,106.0
2015-01-22,2992772,321861664,108.0,106.5,108.0,0.0,1281,3045,106.5
2015-01-23,4346782,468125490,108.5,107.0,108.0,0.0,2285,3045,108.0
2015-01-26,3325611,357066904,108.0,107.0,108.0,0.0,1709,3045,107.0
2015-01-27,2879538,310584279,108.0,107.5,108.0,0.0,1064,3045,108.0
2015-01-28,3255711,350723278,108.5,107.0,108.5,0.5,1948,3045,107.0
2015-01-29,2734700,294439515,108.5,107.0,107.5,-1.0,1835,3045,108.0
2015-01-30,5669653,596311912,107.0,104.0,104.0,-3.5,2171,3045,106.5
2015-02-02,5070535,532966520,106.5,103.5,106.0,2.0,2249,3045,104.0
2015-02-03,5206605,546444213,105.5,104.0,104.5,-1.5,2033,3045,104.5
2015-02-04,5935672,622516217,106.0,104.0,105.0,0.5,1966,3045,104.5
2015-02-05,4247176,450038656,106.5,104.0,106.5,1.5,1530,3045,104.5
2015-02-06,2811688,299027394,107.0,105.0,107.0,0.5,1460,3045,105.5
2015-02-09,3164674,338642118,107.5,106.0,107.0,0.0,1888,3045,107.0
2015-02-10,4004695,426737513,107.0,106.0,107.0,0.0,1698,3045,106.0
2015-02-11,2934601,314925307,108.0,106.0,107.5,0.5,1537,3045,107.5
2015-02-12,2855911,305350057,107.5,106.5,107.0,-0.5,1399,3045,107.0
2015-02-13,4328715,462825925,107.5,106.0,107.5,0.5,2336,3045,106.5
2015-02-24,4647102,504664553,109.0,108.0,109.0,1.5,2880,3045,108.5
2015-02-25,5057860,554930853,110.5,109.0,110.5,1.5,2452,3045,110.0
2015-02-26,6751176,731616172,110.5,107.5,107.5,-3.0,1917,3045,110.5
2015-03-02,4597630,501611170,110.0,107.5,110.0,2.5,2621,3045,108.0
2015-03-03,3342643,366693198,110.5,109.0,110.0,0.0,2109,3045,110.5
2015-03-04,2382538,260349142,110.0,108.5,109.0,-1.0,1336,3045,110.0
2015-03-05,3279452,357128316,110.0,108.0,108.5,-0.5,1572,3045,110.0
2015-03-06,3078155,331300085,109.0,107.0,108.0,-0.5,1658,3045,109.0
2015-03-09,2483472,265193032,108.0,106.0,106.0,-2.0,1045,3045,107.0
2015-03-10,3778141,405993228,109.0,105.5,108.5,2.5,1781,3045,106.0
2015-03-11,4295044,466315252,110.0,107.0,108.5,0.0,2386,3045,107.0
2015-03-12,2920540,315495320,109.0,107.0,108.5,0.0,1526,3045,108.5
2015-03-13,3460499,377834891,110.0,108.0,110.0,1.5,1671,3045,108.0
2015-03-16,2606533,283188064,110.0,108.0,108.0,-2.0,1313,3045,108.5
2015-03-17,3373489,367756301,110.0,108.0,109.5,1.5,1685,3045,108.5
2015-03-18,3748995,407960452,109.5,108.0,108.5,-1.0,2057,3045,108.5
2015-03-19,5011260,550550840,111.0,109.0,109.5,1.0,1911,3045,109.5
2015-03-20,2990384,331249419,111.5,109.5,111.5,2.0,1450,3045,109.5
2015-03-23,1960798,216561780,111.5,110.0,110.5,-1.0,900,3045,111.5
2015-03-24,3101169,342157090,111.0,109.5,111.0,0.5,1839,3045,110.0
2015-03-25,3010467,332554870,111.0,109.5,110.5,-0.5,1350,3045,111.0
2015-03-26,3207539,352315519,110.5,109.0,110.0,-0.5,1556,3045,109.5
2015-03-27,3520635,387728029,110.5,109.5,110.0,0.0,1100,3045,109.5
2015-03-30,2520202,276854614,110.0,109.5,110.0,0.0,1595,3045,109.5
2015-03-31,5957046,650859034,110.0,108.0,109.5,-0.5,1955,3045,110.0
2015-04-01,2482966,271677274,110.0,109.0,109.0,-0.5,1284,3045,110.0
2015-04-02,3454953,381097330,111.0,109.0,111.0,2.0,1250,3045,109.0
2015-04-07,3765587,412663570,111.0,109.0,110.0,-1.0,1267,3045,110.5
2015-04-08,2493540,271404085,110.0,108.0,108.0,-2.0,1380,3045,109.5
2015-04-09,1993761,218535210,110.5,108.0,110.5,2.5,1038,3045,108.0
2015-04-10,3885603,423709227,111.0,108.0,108.0,-2.5,1339,3045,111.0
2015-04-13,2841348,312788780,110.5,108.5,110.5,2.5,1310,3045,108.5
2015-04-14,6275912,689534820,111.0,109.0,109.0,-1.5,1599,3045,110.5
2015-04-15,14959253,1584799818,109.0,104.0,104.5,-4.5,4694,3045,108.5
2015-04-16,9462692,987068160,105.5,102.5,104.0,-0.5,3668,3045,104.5
2015-04-17,6329578,656326898,104.5,102.5,103.5,-0.5,2979,3045,104.0
2015-04-20,2889443,300029288,104.5,103.0,103.5,0.0,1415,3045,103.0
2015-04-21,2278368,238323008,106.0,103.0,106.0,2.5,1047,3045,103.5
2015-04-22,4249177,452986762,107.5,105.0,106.5,0.5,1537,3045,106.5
2015-04-23,3417262,368699163,109.0,106.5,108.0,1.5,2008,3045,107.5
2015-04-24,8643382,947929601,110.0,108.0,109.5,1.5,2231,3045,108.0
2015-04-27,2798491,304704019,110.0,108.0,109.5,0.0,1685,3045,108.0
2015-04-28,2377427,258559116,109.5,108.0,109.0,-0.5,1344,3045,109.5
2015-04-29,2786526,301980808,109.5,107.5,108.5,-0.5,1353,3045,108.0
2015-04-30,3468009,374533972,109.5,107.0,108.0,-0.5,1293,3045,109.0
2015-05-04,1343569,145359452,109.0,107.5,108.5,0.5,838,3045,108.5
2015-05-05,2086553,224734724,108.5,107.0,108.0,-0.5,1386,3045,108.0
2015-05-06,2644569,288999732,110.0,107.0,109.0,1.0,1516,3045,107.0
2015-05-07,2267416,247728344,109.5,108.0,109.5,0.5,1617,3045,108.0
2015-05-08,1956081,212965169,110.0,108.5,108.5,-1.0,987,3045,109.5
2015-05-11,2304112,250956708,109.5,108.0,109.5,1.0,1087,3045,108.5
2015-05-12,2870061,310579088,109.5,107.5,108.0,-1.5,1453,3045,108.5
2015-05-13,3799629,407144803,108.5,106.5,106.5,-1.5,1655,3045,108.0
2015-05-14,3059831,326614469,108.0,106.0,107.5,1.0,1846,3045,107.5
2015-05-15,2585408,275141248,107.5,106.0,106.0,-1.5,1311,3045,107.5
2015-05-18,1699149,181713443,107.5,106.0,107.0,1.0,1040,3045,106.5
2015-05-19,2366605,256403635,109.0,107.5,108.5,1.5,1174,3045,108.0
2015-05-20,1891126,204542667,109.0,107.0,108.5,0.0,1453,3045,108.5
2015-05-21,4773101,507139206,107.5,106.0,106.0,-2.5,2699,3045,107.5
2015-05-22,2350182,250237878,107.0,106.0,106.5,0.5,1322,3045,107.0
2015-05-25,1319164,140945712,107.5,106.0,107.5,1.0,676,3045,107.0
2015-05-26,2806328,301614596,108.0,107.0,107.0,-0.5,1445,3045,107.5
2015-05-27,1972814,211817598,108.0,106.5,107.5,0.5,1039,3045,106.5
2015-05-28,4154483,442200198,108.0,106.0,106.0,-1.5,2108,3045,107.0
2015-05-29,5654402,608283014,108.0,106.0,108.0,2.0,1837,3045,106.5
2015-06-01,2718827,289662989,108.0,106.0,106.0,-2.0,1921,3045,108.0
2015-06-02,5279989,555365384,107.0,104.0,105.0,-1.0,2491,3045,106.0
2015-06-03,3291985,346873425,106.0,105.0,105.5,0.5,2067,3045,105.0
2015-06-04,10191182,1064064610,105.5,103.5,104.0,-1.5,2592,3045,104.5
2015-06-05,6984864,726014285,104.5,103.5,103.5,-0.5,2350,3045,103.5
2015-06-08,3561678,373255854,105.5,103.5,105.0,1.5,1574,3045,103.5
2015-06-09,3594437,376141448,105.0,104.0,104.5,-0.5,1189,3045,104.0
2015-06-10,2554584,267911023,105.5,104.0,104.5,0.0,1493,3045,104.5
2015-06-11,3336126,351549606,106.0,105.0,106.0,1.5,1483,3045,105.5
2015-06-12,2262078,237552227,106.0,104.5,104.5,-1.5,932,3045,106.0
2015-06-15,3351180,350239056,105.5,104.0,104.5,0.0,1601,3045,105.0
2015-06-16,4290977,445728091,105.0,103.5,104.5,0.0,1315,3045,105.0
2015-06-17,6497907,670749335,104.0,103.0,103.0,-1.5,3086,3045,104.0
2015-06-18,4667241,489460305,106.0,103.0,105.5,2.5,1752,3045,103.5
